ticker,gemeinsame_gap_tage,gap_tage_gesamt,gemeinsame_daten
DMIIR,1,27,2026-04-08
DNMX,1,61,2026-04-08
DOO,1,39,2026-04-08
DORM,1,57,2026-04-08
DOV,1,81,2026-04-08
DRH,1,50,2026-04-08
DRTS,1,67,2026-04-08
DSAC,1,30,2026-04-08
DSACU,1,17,2026-04-08
DSS,1,128,2026-04-08
DTB,1,45,2026-04-08
DTG,1,25,2026-04-08
DTSS,1,82,2026-04-08
DTST,1,37,2026-04-08
DTW,1,77,2026-04-08
DUKB,1,47,2026-04-08
DUO,1,67,2026-04-08
DXCM,1,52,2026-04-08
DXPE,1,46,2026-04-08
DXR,1,798,2026-04-08
DXYZ,1,31,2026-04-08
EBC,1,12,2026-04-08
EBS,1,67,2026-04-08
ECG,1,13,2026-04-08
ECL,1,62,2026-04-08
EEFT,1,53,2026-04-08
EFSC,1,55,2026-04-08
EFX,1,53,2026-04-08
EGBN,1,134,2026-04-08
EGHA,1,60,2026-04-08
EGO,1,85,2026-04-08
EH,1,43,2026-04-08
EHLD,1,40,2026-04-08
EICA,1,180,2026-04-08
ELAB,1,33,2026-04-08
ELMD,1,228,2026-04-08
ELPC,1,118,2026-04-08
ELPW,1,127,2026-04-08
ELVA,1,15,2026-04-08
EMET,1,271,2026-04-08
ENJ,1,641,2026-04-08
ENPH,1,41,2026-04-08
ENR,1,41,2026-04-08
ENTG,1,64,2026-04-08
ENVA,1,37,2026-04-08
ENVX,1,21,2026-04-08
EOSE,1,35,2026-04-08
EPAC,1,69,2026-04-08
EQBK,1,35,2026-04-08
EQH,1,35,2026-04-08
EQX,1,29,2026-04-08
ERIC,1,524,2026-04-08
ERII,1,43,2026-04-08
ERO,1,21,2026-04-08
ESAB,1,21,2026-04-08
ESHA,1,153,2026-04-08
ESI,1,37,2026-04-08
ESQ,1,53,2026-04-08
ESTC,1,35,2026-08-27
ETD,1,56,2026-04-08
ETOR,1,2,2026-04-08
EURK,1,109,2026-04-08
EURKR,1,43,2026-08-27
EVEX,1,70,2026-04-08
EVGO,1,35,2026-04-08
EVO,1,161,2026-04-08
EVOX,1,43,2026-04-08
EVTL,1,54,2026-04-08
EWBC,1,66,2026-04-08
EWCZ,1,13,2026-04-08
EXK,1,108,2026-04-08
EXOZ,1,48,2026-04-08
EXPE,1,84,2026-04-08
EXPI,1,13,2026-04-08
EXTR,1,69,2026-04-08
EYE,1,20,2026-04-08
EZGO,1,38,2026-04-08
FAMI,1,73,2026-04-08
FBIN,1,48,2026-04-08
FBIZ,1,298,2026-04-08
FBK,1,50,2026-04-08
FBNC,1,53,2026-04-08
FBP,1,65,2026-04-08
FBRT,1,16,2026-04-08
FCEL,1,86,2026-04-08
FCNCA,1,52,2026-04-08
FCRS,1,19,2026-08-27
FCX,1,150,2026-04-08
FDBC,1,254,2026-04-08
FELE,1,56,2026-04-08
FER,1,49,2026-04-08
FERA,1,64,2026-04-08
FERAR,1,41,2026-04-08
FERG,1,58,2026-04-08
FFBC,1,56,2026-04-08
FFIC,1,51,2026-04-08
FFIN,1,52,2026-04-08
FGII,1,30,2026-08-27
FGNX,1,278,2026-04-08
FHN,1,67,2026-04-08
FIBK,1,39,2026-04-08
FIGR,1,1,2026-04-08
FIGS,1,11,2026-04-08
FISI,1,70,2026-04-08
FISV,1,12,2026-04-08
FITB,1,73,2026-04-08
FLEX,1,73,2026-04-08
FLL,1,178,2026-04-08
FLNC,1,22,2026-04-08
FLS,1,65,2026-04-08
FLXS,1,163,2026-04-08
FLYE,1,14,2026-04-08
FLYW,1,21,2026-04-08
FMAO,1,51,2026-04-08
FMBH,1,126,2026-04-08
FNB,1,67,2026-04-08
FNKO,1,28,2026-08-27
FNWB,1,94,2026-04-08
FNWD,1,130,2026-04-08
FOXF,1,44,2026-04-08
FRBA,1,140,2026-04-08
FRME,1,48,2026-04-08
FRMEP,1,260,2026-08-27
FRSH,1,20,2026-04-08
FRST,1,291,2026-04-08
FSBC,1,23,2026-04-08
FSEA,1,322,2026-04-08
FSHPR,1,70,2026-08-27
FSI,1,178,2026-04-08
FSLR,1,71,2026-04-08
FSS,1,61,2026-04-08
FSTR,1,44,2026-04-08
FTAI,1,28,2026-04-08
FTDR,1,37,2026-04-08
FULT,1,54,2026-04-08
FUNC,1,343,2026-04-08
FVCB,1,31,2026-04-08
FVN,1,83,2026-04-08
FVNNR,1,53,2026-08-27
FVNNU,1,44,2026-08-27
FVR,1,6,2026-04-08
FVRR,1,24,2026-04-08
FWRD,1,62,2026-04-08
GAINI,1,35,2026-04-08
GAME,1,31,2026-04-08
GATX,1,65,2026-04-08
GBCI,1,46,2026-04-08
GBFH,1,2,2026-04-08
GBTG,1,22,2026-04-08
GCBC,1,674,2026-04-08
GCMG,1,86,2026-04-08
GCO,1,67,2026-04-08
GCT,1,11,2026-04-08
GCTS,1,134,2026-04-08
GDEN,1,62,2026-04-08
GDYN,1,70,2026-04-08
GECCG,1,49,2026-04-08
GEHC,1,9,2026-04-08
GENK,1,17,2026-04-08
GFF,1,47,2026-04-08
GFS,1,28,2026-04-08
GGG,1,67,2026-04-08
GH,1,21,2026-04-08
GHM,1,81,2026-04-08
GHRS,1,15,2026-04-08
GIC,1,61,2026-04-08
GIII,1,74,2026-04-08
GIW,1,46,2026-04-08
GIXXU,1,21,2026-04-08
GJR,1,691,2026-08-27
GKOS,1,32,2026-04-08
GLBE,1,17,2026-04-08
GLDD,1,191,2026-04-08
GLMD,1,79,2026-04-08
GLW,1,92,2026-04-08
GLXY,1,6,2026-04-08
GMAB,1,140,2026-04-08
GMED,1,54,2026-04-08
GNE,1,26,2026-04-08
GNLX,1,10,2026-04-08
GNRC,1,73,2026-04-08
GNTX,1,65,2026-04-08
GNW,1,78,2026-04-08
GOOD,1,59,2026-04-08
GOOG,1,61,2026-04-08
GOOGL,1,96,2026-04-08
GORO,1,41,2026-04-08
GPAC,1,33,2026-08-27
GPACU,1,31,2026-08-27
GPGI,1,42,2026-04-08
GPN,1,81,2026-04-08
GPUS,1,258,2026-04-08
GRAB,1,32,2026-04-08
GRAL,1,4,2026-04-08
GRBK,1,99,2026-04-08
GRI,1,30,2026-04-08
GRMN,1,63,2026-04-08
GROY,1,29,2026-04-08
GRRR,1,92,2026-04-08
GSBC,1,68,2026-04-08
GSIW,1,27,2026-04-08
GT,1,61,2026-04-08
GTES,1,37,2026-04-08
GTX,1,25,2026-04-08
GVA,1,43,2026-04-08
GWH,1,35,2026-04-08
GWW,1,61,2026-04-08
GXO,1,20,2026-04-08
HAFC,1,53,2026-04-08
HAO,1,20,2026-04-08
HAS,1,80,2026-04-08
HASI,1,37,2026-04-08
HAYW,1,23,2026-04-08
HBAN,1,60,2026-04-08
HBANZ,1,6,2026-04-08
HBM,1,88,2026-04-08
HBNC,1,207,2026-04-08
HBT,1,35,2026-04-08
HCICU,1,19,2026-04-08
HCKT,1,43,2026-04-08
HCMA,1,37,2026-04-08
HCXY,1,321,2026-04-08
HD,1,84,2026-04-08
HDSN,1,93,2026-04-08
HFBL,1,756,2026-04-08
HFWA,1,103,2026-04-08
HGV,1,38,2026-04-08
HHH,1,51,2026-04-08
HIHO,1,450,2026-04-08
HIPO,1,23,2026-04-08
HIVE,1,24,2026-04-08
HL,1,62,2026-04-08
HLF,1,66,2026-04-08
HLIO,1,54,2026-04-08
HLIT,1,64,2026-04-08
HLLY,1,27,2026-04-08
HLMN,1,29,2026-04-08
HLNE,1,31,2026-04-08
HLP,1,23,2026-04-08
HLT,1,46,2026-04-08
HLXC,1,24,2026-04-08
HNI,1,54,2026-04-08
HNNAZ,1,243,2026-04-08
HNST,1,22,2026-04-08
HOMB,1,57,2026-04-08
HON,1,83,2026-04-08
HOOD,1,27,2026-04-08
HOPE,1,37,2026-04-08
HOVR,1,42,2026-04-08
HRI,1,73,2026-04-08
HROW,1,55,2026-04-08
HRTX,1,23,2026-04-08
HSAI,1,25,2026-04-08
HST,1,45,2026-04-08
HTLD,1,49,2026-04-08
HUBB,1,75,2026-04-08
HUBG,1,66,2026-04-08
HUDI,1,56,2026-04-08
HUT,1,25,2026-04-08
HVII,1,85,2026-04-08
HVMC,1,43,2026-04-08
HVT,1,45,2026-04-08
HWBK,1,637,2026-04-08
HWC,1,63,2026-04-08
HWKN,1,88,2026-04-08
HWM,1,91,2026-04-08
HXL,1,64,2026-04-08
HYMC,1,123,2026-04-08
IART,1,56,2026-04-08
IBCP,1,70,2026-04-08
IBKR,1,18,2026-04-08
IBOC,1,36,2026-04-08
IBP,1,47,2026-04-08
ICFI,1,35,2026-04-08
ICHR,1,45,2026-04-08
ICLR,1,57,2026-04-08
ICUI,1,56,2026-04-08
IDACU,1,13,2026-08-27
IDR,1,51,2026-04-08
IDXX,1,44,2026-04-08
IESC,1,132,2026-04-08
IEX,1,78,2026-04-08
IFF,1,65,2026-04-08
IFS,1,22,2026-04-08
IHRT,1,15,2026-04-08
IHT,1,742,2026-04-08
IIIN,1,50,2026-04-08
IINN,1,48,2026-04-08
ILPT,1,20,2026-04-08
IMSR,1,44,2026-04-08
INBKZ,1,385,2026-04-08
INBX,1,12,2026-04-08
INCR,1,93,2026-04-08
INDB,1,46,2026-04-08
INDI,1,74,2026-04-08
INOD,1,152,2026-04-08
INTR,1,17,2026-04-08
INTT,1,230,2026-04-08
INUV,1,137,2026-04-08
INVZ,1,70,2026-04-08
IONS,1,64,2026-04-08
IPAR,1,59,2026-04-08
IPCX,1,62,2026-04-08
IPGP,1,72,2026-04-08
IPOD,1,49,2026-04-08
IPWR,1,64,2026-04-08
IREN,1,11,2026-04-08
IRHO,1,26,2026-04-08
IRHOR,1,33,2026-04-08
IRIX,1,162,2026-04-08
IRMD,1,40,2026-04-08
IRTC,1,20,2026-04-08
ISOU,1,5,2026-04-08
ISRG,1,82,2026-04-08
ISSC,1,150,2026-04-08
ISTR,1,179,2026-04-08
ITHAU,1,18,2026-04-08
ITRI,1,72,2026-04-08
ITT,1,56,2026-04-08
ITW,1,86,2026-04-08
IVR,1,39,2026-04-08
IVZ,1,115,2026-04-08
JACS,1,117,2026-04-08
JAKK,1,71,2026-04-08
JBDI,1,17,2026-04-08
JBLU,1,60,2026-04-08
JBTM,1,59,2026-04-08
JCI,1,73,2026-04-08
JD,1,161,2026-04-08
JEM,1,13,2026-04-08
JENA,1,62,2026-04-08
JLHL,1,13,2026-04-08
JLL,1,73,2026-04-08
JMSB,1,31,2026-04-08
JOBY,1,37,2026-04-08
JOE,1,39,2026-04-08
JPM,1,128,2026-04-08
JRSH,1,155,2026-04-08
JTAI,1,109,2026-04-08
JXN,1,22,2026-04-08
KALU,1,70,2026-04-08
KARO,1,59,2026-04-08
KBH,1,57,2026-04-08
KBON,1,34,2026-08-27
KBONU,1,40,2026-04-08
KCHV,1,78,2026-04-08
KE,1,29,2026-04-08
KEQU,1,562,2026-04-08
KEY,1,78,2026-04-08
KEYS,1,49,2026-04-08
KGC,1,103,2026-04-08
KKR,1,66,2026-04-08
KLAC,1,75,2026-04-08
KLAR,1,4,2026-04-08
KLIC,1,68,2026-04-08
KNF,1,12,2026-04-08
KNX,1,59,2026-04-08
KOYNU,1,31,2026-04-08
KRMD,1,19,2026-04-08
KRNT,1,31,2026-04-08
KRNY,1,29,2026-04-08
KSS,1,66,2026-04-08
KTB,1,33,2026-04-08
KTOS,1,79,2026-04-08
KTWOR,1,13,2026-08-27
KULR,1,36,2026-04-08
KYMR,1,19,2026-04-08
KYNB,1,26,2026-04-08
LAD,1,57,2026-04-08
LAES,1,16,2026-04-08
LAMR,1,59,2026-04-08
LARK,1,701,2026-04-08
LASR,1,24,2026-04-08
LCID,1,24,2026-04-08
LCII,1,50,2026-04-08
LCNB,1,163,2026-04-08
LCTX,1,63,2026-04-08
LDI,1,23,2026-04-08
LECO,1,63,2026-04-08
LEGH,1,30,2026-04-08
LEU,1,98,2026-04-08
LEVI,1,31,2026-04-08
LFMD,1,18,2026-04-08
LFST,1,15,2026-04-08
LFUS,1,59,2026-04-08
LGCL,1,13,2026-04-08
LGIH,1,45,2026-04-08
LGPS,1,39,2026-04-08
LIF,1,16,2026-04-08
LII,1,51,2026-04-08
LIND,1,114,2026-04-08
LINE,1,2,2026-04-08
LINK,1,126,2026-04-08
LIVN,1,20,2026-04-08
LKQ,1,51,2026-04-08
LLYVA,1,7,2026-04-08
LMAT,1,88,2026-04-08
LMB,1,38,2026-04-08
LMND,1,16,2026-04-08
LMNR,1,30,2026-04-08
LNC,1,107,2026-04-08
LNKB,1,17,2026-04-08
LOAR,1,8,2026-04-08
LOGI,1,462,2026-04-08
LPBB,1,94,2026-04-08
LPCV,1,27,2026-04-08
LPLA,1,60,2026-04-08
LPX,1,59,2026-04-08
LQDT,1,43,2026-04-08
LRCX,1,90,2026-04-08
LSCC,1,60,2026-04-08
LSPD,1,20,2026-04-08
LTBR,1,76,2026-04-08
LTH,1,15,2026-04-08
LUCK,1,41,2026-04-08
LULU,1,75,2026-04-08
LUMN,1,60,2026-04-08
LUV,1,75,2026-04-08
LVS,1,102,2026-04-08
LXP,1,43,2026-04-08
LYTS,1,48,2026-04-08
LYV,1,63,2026-04-08
LZB,1,75,2026-04-08
MAR,1,59,2026-04-08
MASS,1,8,2026-04-08
MAT,1,66,2026-04-08
MATV,1,54,2026-04-08
MATW,1,41,2026-04-08
MATX,1,70,2026-04-08
MAYS,1,608,2026-04-08
MBC,1,13,2026-04-08
MBLY,1,22,2026-04-08
MBOT,1,132,2026-04-08
MBUU,1,38,2026-04-08
MBWM,1,88,2026-04-08
MCBS,1,31,2026-04-08
MCFT,1,37,2026-04-08
MCGA,1,33,2026-04-08
MCHB,1,40,2026-04-08
MCHP,1,85,2026-04-08
MCHX,1,67,2026-04-08
MCO,1,70,2026-04-08
MCS,1,53,2026-04-08
MDAA,1,114,2026-04-08
MDB,1,42,2026-04-08
MDBH,1,92,2026-04-08
MEI,1,65,2026-04-08
MELI,1,68,2026-04-08
MERC,1,45,2026-08-27
MESH,1,34,2026-04-08
MESHU,1,34,2026-04-08
META,1,79,2026-04-08
MEVO,1,28,2026-08-27
MFC,1,85,2026-04-08
MFIN,1,49,2026-04-08
MGA,1,118,2026-04-08
MGIH,1,38,2026-04-08
MGNI,1,42,2026-04-08
MGRC,1,48,2026-04-08
MGRD,1,33,2026-04-08
MGX,1,9,2026-04-08
MH,1,5,2026-04-08
MHK,1,79,2026-04-08
MHLA,1,276,2026-08-27
MHO,1,54,2026-04-08
MICC,1,18,2026-04-08
