series,days,rs_from,rs_to,n,hit,mean,median,n_2021,hit_2021,mean_2021,n_2022,hit_2022,mean_2022,n_2023,hit_2023,mean_2023,n_2024,hit_2024,mean_2024,n_2025,hit_2025,mean_2025,n_2026,hit_2026,mean_2026
roc_63_126_252_w111,20,40,95,159,0.5345911949685535,0.1895885455460701,0.02044370366339643,12,0.08333333333333333,-0.16188721592343877,31,0.41935483870967744,0.0791028956625966,63,0.5873015873015873,0.06504216517545346,37,0.5405405405405406,0.30569674470934494,15,0.8666666666666667,0.9341822361904993,1,1.0,0.21386606420909948
roc_63_126_252_w111,40,20,85,843,0.465005931198102,0.06961437352830535,-0.026312688586574928,84,0.27380952380952384,-0.13549269380448217,197,0.3604060913705584,-0.017634017689343622,235,0.451063829787234,0.03744533993942801,151,0.5298013245033113,0.16741023081272638,135,0.6518518518518519,0.2810448086142906,41,0.5853658536585366,0.039471990356256696
roc_63_126_252_w111,40,20,90,517,0.47195357833655704,0.07897222265406477,-0.025613378360260175,63,0.20634920634920634,-0.17742112594970594,100,0.4,0.034109666424460935,164,0.4878048780487805,0.05955634310162113,106,0.5471698113207547,0.20588371328352126,71,0.647887323943662,0.20971035505882538,13,0.5384615384615384,0.17244352379004574
roc_63_126_252_w111,40,20,95,216,0.5370370370370371,0.15720819586498028,0.016971209075536065,15,0.2,-0.17251791354743504,40,0.375,0.003184853799590054,86,0.5697674418604651,0.07689446182853761,52,0.5769230769230769,0.27512671408655404,22,0.8181818181818182,0.6947257247317967,1,1.0,0.21386606420909948
roc_63_126_252_w111,40,30,85,1344,0.4642857142857143,0.04726178372550123,-0.020137750176004277,159,0.31446540880503143,-0.10482911706021739,329,0.4072948328267477,-0.004565410039671239,348,0.4396551724137931,0.0073269715450693905,230,0.4956521739130435,0.12042287410985252,210,0.6523809523809524,0.237376402821734,68,0.5294117647058824,0.024824854326312044
roc_63_126_252_w111,40,30,90,782,0.4718670076726343,0.07193360103702638,-0.017290943768478284,109,0.25688073394495414,-0.12289196822442051,173,0.3930635838150289,0.0188777223847969,217,0.4792626728110599,0.04114860658971694,150,0.5066666666666667,0.15012807177815335,113,0.6991150442477876,0.2583419907058273,20,0.7,0.29092728495688364
roc_63_126_252_w111,40,30,95,320,0.509375,0.12812833124591388,0.010165820355045763,28,0.2857142857142857,-0.1198919071330493,69,0.36231884057971014,0.011140121628168952,112,0.5446428571428571,0.05249572511210411,71,0.5492957746478874,0.24746766521553568,35,0.7714285714285715,0.5702940398412973,5,0.6,0.0358708337540111
roc_63_126_252_w111,40,40,85,1975,0.479493670886076,0.04760699484433615,-0.009854808113235247,240,0.3125,-0.0822729881336902,472,0.4364406779661017,-0.0005228424152786891,521,0.4472168905950096,0.005116568351531426,344,0.5406976744186046,0.1068626663329476,305,0.639344262295082,0.20948939510818707,93,0.5591397849462365,0.11787133095429116
roc_63_126_252_w111,40,40,90,1090,0.48073394495412847,0.0681128605936257,-0.011230899938275307,156,0.2692307692307692,-0.11198500401601522,240,0.42083333333333334,0.01798572182317658,296,0.4594594594594595,0.030182004225201235,199,0.5376884422110553,0.14004259594110727,171,0.695906432748538,0.24137726159229364,28,0.6785714285714286,0.33265399583487526
roc_63_126_252_w111,40,40,95,427,0.5128805620608899,0.11015463520093197,0.011161266617551902,43,0.3023255813953488,-0.11568497669156787,97,0.3917525773195876,0.01324224065648423,130,0.5615384615384615,0.05196636117276445,92,0.532608695652174,0.19632156790640656,59,0.711864406779661,0.43118999316452356,6,0.6666666666666666,0.061942115626045825
roc_63_126_252_w112,10,20,85,87,0.5402298850574713,0.21066191282192273,0.012771067420686899,10,0.1,-0.18613681599567738,11,0.2727272727272727,-0.010905926206041321,27,0.7037037037037037,0.18353608386794265,25,0.68,0.5350826791906153,11,0.45454545454545453,0.1707140089813308,3,0.6666666666666666,0.03284147357867817
roc_63_126_252_w112,10,20,90,45,0.6222222222222222,0.30953277058413725,0.16414229757701015,6,0.0,-0.22696732524325902,8,0.25,-0.0116524600265525,12,0.8333333333333334,0.17384652812997137,15,0.8,0.6339173536164254,3,1.0,1.1917378673143377,1,1.0,0.21386606420909948
roc_63_126_252_w112,10,20,95,18,0.6111111111111112,0.48090484355369434,0.22187195662670445,1,0.0,-0.0665272162452486,3,0.3333333333333333,0.09254242810154382,5,0.6,0.09379631621261404,7,0.7142857142857143,1.0369700603030871,1,1.0,0.503549048513336,1,1.0,0.21386606420909948
roc_63_126_252_w112,10,30,85,147,0.4965986394557823,0.14925820705630796,-0.0008862391185466834,15,0.13333333333333333,-0.17621687290615584,33,0.2727272727272727,-0.059103078006337316,46,0.6304347826086957,0.16827090207363096,33,0.6666666666666666,0.47150339846945927,16,0.5625,0.22086367113694477,4,0.5,-0.07482031949789028
roc_63_126_252_w112,10,30,90,74,0.5540540540540541,0.21238596054345354,0.031245609920193762,7,0.0,-0.21051801760494535,18,0.2777777777777778,-0.040701310978112464,26,0.6538461538461539,0.1611294661635942,18,0.7777777777777778,0.5509693187479585,4,1.0,0.9005327197826016,1,1.0,0.21386606420909948
roc_63_126_252_w112,10,30,95,28,0.6785714285714286,0.44189590794045003,0.20549610895983927,1,0.0,-0.0665272162452486,5,0.6,0.3610798470254548,9,0.6666666666666666,0.20976126279907847,10,0.7,0.7836029677413447,1,1.0,0.503549048513336,2,1.0,0.20339165616604205
roc_63_126_252_w112,10,40,85,258,0.4728682170542636,0.09040631865628647,-0.026295091090109413,32,0.15625,-0.13259486462450742,56,0.30357142857142855,-0.045961187757307766,86,0.5348837209302325,0.06274633122849828,47,0.7446808510638298,0.39880754605174656,30,0.5333333333333333,0.2146887575595887,7,0.42857142857142855,-0.06272992587931818
roc_63_126_252_w112,10,40,90,112,0.48214285714285715,0.1630980871266721,-0.01681230398926492,13,0.0,-0.16595979697809768,26,0.34615384615384615,0.015520051256208256,40,0.5,0.11110855282486239,21,0.7619047619047619,0.4898573668002311,11,0.7272727272727273,0.46142990056660743,1,1.0,0.21386606420909948
roc_63_126_252_w112,10,40,95,42,0.6428571428571429,0.36889808264353413,0.18870816412364366,4,0.0,-0.13424219218124253,8,0.5,0.17291509924180204,10,0.7,0.3330977534377444,14,0.7142857142857143,0.66389480892263,4,1.0,0.40376981854816,2,1.0,0.20339165616604205
roc_63_126_252_w112,20,20,85,226,0.504424778761062,0.13971792040798053,0.0012623021205215856,22,0.13636363636363635,-0.1599958032071543,43,0.3953488372093023,0.020556858841735092,85,0.5529411764705883,0.09937230093660333,41,0.6097560975609756,0.47518286697841555,32,0.625,0.193267037690751,3,0.6666666666666666,0.03284147357867817
roc_63_126_252_w112,20,20,90,120,0.5166666666666667,0.2195719416618476,0.00941113095041829,20,0.05,-0.16396107624913023,23,0.43478260869565216,0.09776766826234953,44,0.5681818181818182,0.15912145685212684,25,0.72,0.5443027267903425,7,1.0,0.9366314027012905,1,1.0,0.21386606420909948
roc_63_126_252_w112,20,20,95,58,0.5689655172413793,0.34832892702863516,0.16299139069891888,8,0.0,-0.18050143833125093,5,0.6,0.5359284369752445,23,0.5652173913043478,0.15119159015519226,16,0.6875,0.7100956081188794,3,1.0,1.2121394083341468,3,1.0,0.16403085365356448
roc_63_126_252_w112,20,30,85,390,0.49743589743589745,0.09401923509268567,-0.0009898463122555157,42,0.19047619047619047,-0.14015591208225323,88,0.4090909090909091,-0.0012817170230475542,126,0.5476190476190477,0.07208894416608465,69,0.5942028985507246,0.2972453200759438,50,0.66,0.24989096251964,15,0.4666666666666667,0.03861059436542965
roc_63_126_252_w112,20,30,90,189,0.49206349206349204,0.13417224765631372,-0.015663046903422573,27,0.07407407407407407,-0.17055998349804116,45,0.37777777777777777,0.026596288380883154,67,0.5223880597014925,0.11456246408486857,37,0.7567567567567568,0.39817394394253025,10,1.0,0.6965545213586508,3,0.3333333333333333,-0.20227494959855194
roc_63_126_252_w112,20,30,95,84,0.5714285714285714,0.25360655764247136,0.07921744012885934,10,0.1,-0.14539535879763568,12,0.5,0.20081612053138073,29,0.5862068965517241,0.13995988623911268,24,0.625,0.4860475200263412,6,1.0,0.6885068735067051,3,1.0,0.16403085365356448
roc_63_126_252_w112,20,40,85,681,0.47577092511013214,0.06229474644815255,-0.017346671295751293,78,0.1794871794871795,-0.1424766437630475,145,0.43448275862068964,-0.003589180208631467,222,0.46396396396396394,0.004809037520313268,122,0.6311475409836066,0.22550382388644713,91,0.6043956043956044,0.2059569542233773,23,0.5217391304347826,0.29992978584417423
roc_63_126_252_w112,20,40,90,313,0.48242811501597443,0.09881340329139125,-0.013542695068665345,43,0.06976744186046512,-0.16422654299609626,72,0.3472222222222222,-0.0038008180235096284,103,0.4854368932038835,0.05687397569310289,64,0.78125,0.3507064546584116,27,0.7777777777777778,0.3929252271796766,4,0.5,-0.09908130007047267
roc_63_126_252_w112,20,40,95,132,0.5303030303030303,0.160099343629354,0.017014026217292755,16,0.125,-0.13128445132977895,24,0.4583333333333333,0.06009410848129194,43,0.5116279069767442,0.06741878406452002,35,0.6285714285714286,0.37809401188624975,11,0.9090909090909091,0.4697286622769444,3,1.0,0.16403085365356448
roc_63_126_252_w112,40,20,85,590,0.48983050847457626,0.0793672494173213,-0.009214162659380687,54,0.2777777777777778,-0.12927353695325874,113,0.37168141592920356,-0.02842354295281698,191,0.46596858638743455,0.03769101880424968,115,0.5652173913043478,0.21187116959194793,100,0.71,0.24643776318230975,17,0.4117647058823529,0.05552158897775328
roc_63_126_252_w112,40,20,90,298,0.4463087248322148,0.09002020430879387,-0.02889622916917589,42,0.14285714285714285,-0.16768294689693272,57,0.40350877192982454,0.03691555859574869,115,0.43478260869565216,0.047106325038588484,59,0.576271186440678,0.28391069620065545,22,0.8181818181818182,0.424939763167713,3,0.6666666666666666,0.14725835355329883
roc_63_126_252_w112,40,20,95,164,0.5,0.16943473527505004,0.0028241473017711627,19,0.3157894736842105,-0.07395124439387103,21,0.5238095238095238,0.10123218514567675,69,0.4492753623188406,0.024991432971480765,41,0.4878048780487805,0.32183833745054485,10,1.0,1.1414355141652983,4,1.0,0.18308962209376206
roc_63_126_252_w112,40,30,85,987,0.5035460992907801,0.06643555356956878,0.0009943793230125508,113,0.23893805309734514,-0.11272779439135859,217,0.4608294930875576,-0.010575398116293789,276,0.5036231884057971,0.02277055730847489,173,0.5491329479768786,0.13604015007756262,170,0.6882352941176471,0.24780858545807477,38,0.5,0.22967154786056643
roc_63_126_252_w112,40,30,90,495,0.4686868686868687,0.08672834512927939,-0.020380775296421405,63,0.1746031746031746,-0.15036676625552173,103,0.4077669902912621,0.011936895399541722,161,0.42857142857142855,0.021215383326241514,103,0.6116504854368932,0.20966745583016053,52,0.7884615384615384,0.3764657775019514,13,0.46153846153846156,0.5161100693466429
roc_63_126_252_w112,40,30,95,216,0.5092592592592593,0.16093288924610885,0.009434360860065882,23,0.2608695652173913,-0.07837282719000388,40,0.5,0.072003904366763,76,0.47368421052631576,0.03815572572899712,54,0.46296296296296297,0.24613307082955502,19,1.0,0.8821338662781205,4,1.0,0.18308962209376206
roc_63_126_252_w112,40,40,85,1541,0.4925373134328358,0.05187281167500941,-0.004084537453056758,184,0.2391304347826087,-0.10196406929441719,325,0.4707692307692308,-0.004925352766895711,452,0.4668141592920354,-0.0016465398619949193,261,0.5555555555555556,0.11482451873488929,252,0.6626984126984127,0.2222247130537572,67,0.582089552238806,0.225902863222866
