series,days,rs_from,rs_to,n,hit_rate,mean_excess,median_excess,p25_excess,mean_max_rel_dd,mean_min_rel
roc_20_50_100_w111,10,30,90,191,0.5863874345549738,0.1874727319756491,0.07490126534937191,-0.15756291364645064,-0.2688343312731649,-0.15647437971060965
roc_20_50_100_w111,10,40,70,2113,0.49692380501656414,0.07318061230282694,0.0007208422598594666,-0.1348568245543068,-0.2003674465810139,-0.13228971496259473
roc_20_50_100_w111,10,40,80,930,0.5268817204301075,0.11259439394180742,0.030690755351978627,-0.13912964087056562,-0.22296124199377249,-0.14034752927320837
roc_20_50_100_w111,10,40,90,283,0.6007067137809188,0.17688112888653787,0.0704055761515392,-0.13502358631410977,-0.2536577499716317,-0.15158395931526553
roc_20_50_100_w111,20,20,70,1447,0.5148583275742916,0.107462522537105,0.013182254538489646,-0.12922276149860046,-0.20810968389389245,-0.13468968046966626
roc_20_50_100_w111,20,20,80,829,0.5355850422195416,0.14526804772653124,0.03392976231642064,-0.12989981696545766,-0.22671713822406567,-0.13792564507410482
roc_20_50_100_w111,20,20,90,377,0.5888594164456233,0.16746965335154612,0.05484394353033395,-0.1533021518340897,-0.2547620134845093,-0.1509615164352603
roc_20_50_100_w111,20,30,70,2449,0.4912209064924459,0.07220525158385965,-0.002580806397301294,-0.1296935988730758,-0.19665493940934795,-0.12979013853064458
roc_20_50_100_w111,20,30,80,1344,0.5119047619047619,0.1050866306441556,0.017720445050128153,-0.13523514961055022,-0.21557523411746216,-0.13689657921741988
roc_20_50_100_w111,20,30,90,549,0.5737704918032787,0.1419590031470945,0.044288023546352695,-0.13461333543894755,-0.24275044786193217,-0.14666078716963812
roc_20_50_100_w111,20,40,70,3718,0.4760623991393222,0.052284458012619134,-0.009530151676304499,-0.13274030347094543,-0.18787121840994084,-0.12527751885760818
roc_20_50_100_w111,20,40,80,1978,0.4994944388270981,0.0802332171445203,0.00470705063545962,-0.14248234427780765,-0.2061882699967281,-0.1332260557599457
roc_20_50_100_w111,20,40,90,748,0.5721925133689839,0.12204453306104802,0.04396189550168672,-0.12828836160382967,-0.23339445242653145,-0.1422876703367468
roc_20_50_100_w111,30,20,70,2030,0.506896551724138,0.09185524489288391,0.00937164388317041,-0.12574114056247948,-0.2008227605970462,-0.1292323934526223
roc_20_50_100_w111,30,20,80,1266,0.5197472353870458,0.11889663879053933,0.020552038788522742,-0.1281185446276204,-0.2171148684149603,-0.13489028024273342
roc_20_50_100_w111,30,20,90,601,0.562396006655574,0.14813719124356522,0.034105834403735935,-0.14820743086673754,-0.24125130542906367,-0.14809045353169192
roc_20_50_100_w111,30,30,70,3256,0.48065110565110564,0.05769250475937155,-0.00849783393366016,-0.1311100116905845,-0.19109222187235833,-0.1264406124661254
roc_20_50_100_w111,30,30,80,1892,0.49841437632135305,0.08870820251350853,0.0039585292006771855,-0.13333541836323487,-0.20835206895445227,-0.13307665149709577
roc_20_50_100_w111,30,30,90,821,0.5444579780755177,0.1279985351712814,0.027641185934818124,-0.13472814201514297,-0.23463486436664216,-0.1437300905188781
roc_20_50_100_w111,30,40,70,4647,0.4682590918872391,0.042536351023147234,-0.013848560145697908,-0.13060289469668462,-0.18380668984516574,-0.12293116579756215
roc_20_50_100_w111,30,40,80,2670,0.4902621722846442,0.06828127322067996,-0.002927977151760075,-0.13589516155400355,-0.20020787207303503,-0.12937845109616472
roc_20_50_100_w111,30,40,90,1098,0.5482695810564663,0.11604880281588968,0.031102932317371268,-0.13111812840861292,-0.22638761450930794,-0.1374336206021951
roc_20_50_100_w111,40,20,70,2659,0.4877773599097405,0.07160755632861134,-0.0046277499995469595,-0.13332392439040033,-0.19669652995631084,-0.12962038685933885
roc_20_50_100_w111,40,20,80,1705,0.5079178885630499,0.09866976975936313,0.011880729133520673,-0.13306877528580455,-0.21047422111435837,-0.13396087058935846
roc_20_50_100_w111,40,20,90,846,0.5543735224586288,0.12515490771908697,0.030811834756625744,-0.15245659676668022,-0.23421244657121074,-0.14570719181600272
roc_20_50_100_w111,40,30,70,4064,0.4793307086614173,0.0492273832408915,-0.00899706325179983,-0.13284514521332688,-0.18707982325020114,-0.12496912402060908
roc_20_50_100_w111,40,30,80,2451,0.48918808649530804,0.07360807090844144,-0.004033786602089862,-0.13607944483948123,-0.20165937443626947,-0.13045791299998455
roc_20_50_100_w111,40,30,90,1143,0.5468066491688539,0.11144021798561635,0.0313941281126775,-0.13718664296074057,-0.22664829246341983,-0.13906411831858337
roc_20_50_100_w111,40,40,70,5388,0.46733481811432814,0.03777984883088351,-0.01330133648320897,-0.13185984484945124,-0.18109486785076245,-0.12155982996541426
roc_20_50_100_w111,40,40,80,3285,0.4791476407914764,0.05755628245747478,-0.00825876487242616,-0.13630123744080624,-0.1954748387004527,-0.1275737725862022
roc_20_50_100_w111,40,40,90,1465,0.5488054607508532,0.10271440014146295,0.031983615872953286,-0.1339455662938946,-0.21964772894031048,-0.1336495722832146
roc_20_50_100_w123,10,20,70,374,0.5481283422459893,0.1725137448109795,0.05314286069564805,-0.15222342811028308,-0.2443674972863273,-0.1550571472729767
roc_20_50_100_w123,10,20,80,183,0.5573770491803278,0.21567220989700903,0.04770071757640437,-0.14672147739407637,-0.26494136018888753,-0.1491184942991577
roc_20_50_100_w123,10,20,90,75,0.6,0.251442749622167,0.12145896582787485,-0.14886501733647511,-0.2888875556831149,-0.16377701598552097
roc_20_50_100_w123,10,30,70,777,0.5379665379665379,0.13007217138735638,0.030108820244440837,-0.1262424723756746,-0.21474214829799862,-0.13788457215029348
roc_20_50_100_w123,10,30,80,339,0.5663716814159292,0.19854497424161882,0.04746051690321251,-0.12587957097923747,-0.23402375014751475,-0.13501108584921376
roc_20_50_100_w123,10,30,90,106,0.6226415094339622,0.2734144216343307,0.11876677516807199,-0.1261659784047285,-0.2716170396920184,-0.14707116704117634
